player_name,team_abbr,pos,age,G,GS,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PTS,PER,TS%,USG%,WS,WS/48,BPM,VORP,salary,team_name,wins,losses,Win_PCT,home_record,road_record,conference,overall_rank,ws_per_million
Anfernee Simons,POR,SG,25.0,70.0,70.0,32.7,0.426,0.363,0.902,2.7,4.8,0.9,0.1,2.0,19.3,14.9,0.557,24.6,4.2,0.087,-0.1,1.1,25892857,Portland Trail Blazers,36,46,0.439,22-19,14-27,West,21,0.16220689744665875
Desmond Bane,MEM,SG,26.0,69.0,68.0,32.0,0.484,0.392,0.894,6.1,5.3,1.2,0.4,2.4,19.2,17.9,0.6,23.3,6.5,0.142,3.2,2.9,34005250,Memphis Grizzlies,48,34,0.585,26-15,22-19,West,11,0.19114695524955708
Domantas Sabonis,SAC,C,28.0,70.0,70.0,34.7,0.59,0.417,0.754,13.9,6.0,0.7,0.4,2.9,19.1,22.9,0.655,21.6,10.1,0.199,5.2,4.4,40500000,Sacramento Kings,40,42,0.488,20-21,20-21,West,16,0.2493827160493827
Alperen Sengun,HOU,C,22.0,76.0,76.0,31.5,0.496,0.233,0.692,10.3,4.9,1.1,0.8,2.6,19.1,21.4,0.545,26.2,8.3,0.166,4.4,3.9,5424654,Houston Rockets,52,30,0.634,29-12,23-17,West,4,1.5300515019022412
John Collins,UTA,PF,27.0,40.0,31.0,30.5,0.527,0.399,0.848,8.2,2.0,1.0,1.0,2.6,19.0,19.0,0.628,24.2,2.5,0.098,1.0,0.9,26580000,Utah Jazz,17,65,0.207,10-31,7-34,West,30,0.09405568096313018
Lauri Markkanen,UTA,PF,27.0,47.0,47.0,31.4,0.423,0.346,0.876,5.9,1.5,0.7,0.4,1.4,19.0,15.6,0.571,24.0,2.2,0.07,-0.3,0.7,42176400,Utah Jazz,17,65,0.207,10-31,7-34,West,30,0.05216187251638357
Jalen Johnson,ATL,SF,23.0,36.0,36.0,35.7,0.5,0.312,0.746,10.0,5.0,1.6,1.0,2.9,18.9,17.3,0.569,22.5,2.4,0.089,1.8,1.2,4510905,Atlanta Hawks,40,42,0.488,21-19,19-22,East,16,0.5320440133410036
Cameron Johnson,BRK,PF,28.0,57.0,57.0,31.6,0.475,0.39,0.893,4.3,3.4,0.9,0.4,1.7,18.8,18.2,0.632,22.9,5.1,0.137,3.1,2.3,22500000,Brooklyn Nets,26,56,0.317,12-29,14-27,East,25,0.22666666666666666
Julius Randle,MIN,PF,30.0,69.0,69.0,32.3,0.485,0.344,0.806,7.1,4.7,0.7,0.2,2.8,18.7,17.5,0.593,25.0,6.2,0.134,1.3,1.8,33073920,Minnesota Timberwolves,49,33,0.598,25-16,24-17,West,10,0.18745887998761562
Tyrese Haliburton,IND,PG,24.0,73.0,73.0,33.6,0.473,0.388,0.851,3.5,9.2,1.4,0.7,1.6,18.6,21.8,0.616,21.6,10.4,0.204,5.8,4.9,42176000,Indiana Pacers,50,32,0.61,29-11,20-20,East,6,0.2465857359635812
Evan Mobley,CLE,PF,23.0,71.0,71.0,30.5,0.557,0.37,0.725,9.3,3.2,0.9,1.6,2.0,18.5,22.3,0.633,23.2,9.0,0.2,4.6,3.6,11227809,Cleveland Cavaliers,64,18,0.78,34-7,30-11,East,2,0.8015811455289272
Shaedon Sharpe,POR,SG,21.0,72.0,52.0,31.3,0.452,0.311,0.785,4.5,2.8,0.9,0.2,2.1,18.5,14.5,0.551,25.1,3.0,0.064,-1.3,0.4,6614160,Portland Trail Blazers,36,46,0.439,22-19,14-27,West,21,0.4535723357161
Nikola Vucevic,CHI,C,34.0,73.0,72.0,31.2,0.53,0.402,0.805,10.1,3.5,0.8,0.7,1.6,18.5,20.3,0.611,22.4,7.3,0.153,2.6,2.7,20000000,Chicago Bulls,39,43,0.476,18-23,21-20,East,18,0.365
Collin Sexton,UTA,SG,26.0,63.0,61.0,27.9,0.48,0.406,0.865,2.7,4.2,0.7,0.1,2.5,18.4,16.6,0.593,27.0,2.4,0.066,-0.6,0.6,18350000,Utah Jazz,17,65,0.207,10-31,7-34,West,30,0.1307901907356948
Michael Porter Jr.,DEN,SF,26.0,77.0,77.0,33.7,0.504,0.395,0.768,7.0,2.1,0.6,0.5,1.4,18.2,16.2,0.617,20.2,6.4,0.118,-0.1,1.2,35859950,Denver Nuggets,50,32,0.61,26-15,24-17,West,6,0.17847208375917983
Bam Adebayo,MIA,C,27.0,78.0,78.0,34.3,0.485,0.357,0.765,9.6,4.3,1.3,0.7,2.1,18.1,18.9,0.561,23.5,7.5,0.135,2.0,2.7,34848340,Miami Heat,37,45,0.451,19-22,17-23,East,20,0.21521828586383168
OG Anunoby,NYK,PF,27.0,74.0,74.0,36.6,0.476,0.372,0.81,4.8,2.2,1.5,0.9,1.4,18.0,15.4,0.591,19.7,6.5,0.116,0.7,1.9,36637931,New York Knicks,51,31,0.622,27-14,24-17,East,5,0.17741176487285812
Mikal Bridges,NYK,SF,28.0,82.0,82.0,37.0,0.5,0.354,0.814,3.2,3.7,0.9,0.5,1.6,17.6,14.0,0.585,19.6,5.7,0.09,-0.5,1.2,23300000,New York Knicks,51,31,0.622,27-14,24-17,East,5,0.2446351931330472
Jaden Ivey,DET,SG,22.0,30.0,30.0,29.9,0.46,0.409,0.733,4.1,4.0,0.9,0.4,3.0,17.6,14.7,0.569,26.0,1.2,0.062,0.0,0.5,7977240,Detroit Pistons,44,38,0.537,22-19,22-19,East,14,0.1504279675677302
Dejounte Murray,NOP,PG,28.0,31.0,31.0,32.6,0.393,0.299,0.823,6.5,7.4,2.0,0.4,3.4,17.5,15.4,0.494,27.3,0.2,0.009,-1.6,0.1,29535801,New Orleans Pelicans,21,61,0.256,14-27,7-34,West,27,0.006771443239341977
Malik Monk,SAC,SG,26.0,65.0,45.0,31.6,0.439,0.325,0.865,3.8,5.6,0.9,0.6,2.4,17.2,15.0,0.549,24.6,2.8,0.065,-0.8,0.6,17405202,Sacramento Kings,40,42,0.488,20-21,20-21,West,16,0.16087144521505697
Immanuel Quickley,TOR,PG,25.0,33.0,33.0,27.8,0.42,0.378,0.867,3.5,5.8,0.7,0.1,1.8,17.1,17.5,0.57,25.1,2.5,0.128,2.2,1.0,32500000,Toronto Raptors,30,52,0.366,18-23,12-29,East,24,0.07692307692307693
Bradley Beal,PHO,SG,31.0,53.0,38.0,32.1,0.497,0.386,0.803,3.3,3.7,1.1,0.5,1.9,17.0,15.2,0.598,22.1,2.4,0.068,-1.1,0.4,50203930,Phoenix Suns,36,46,0.439,24-17,12-29,West,21,0.04780502243549459
Deni Avdija,POR,SF,24.0,72.0,54.0,30.0,0.476,0.365,0.78,7.3,3.9,1.0,0.5,2.7,16.9,17.7,0.605,23.2,5.6,0.124,2.1,2.2,15625000,Portland Trail Blazers,36,46,0.439,22-19,14-27,West,21,0.3584
Keyonte George,UTA,PG,21.0,67.0,35.0,31.5,0.391,0.343,0.818,3.8,5.6,0.7,0.1,2.7,16.8,12.9,0.539,24.3,1.1,0.024,-2.7,-0.3,4084200,Utah Jazz,17,65,0.207,10-31,7-34,West,30,0.2693305910582244
