player_name,team_abbr,pos,age,G,GS,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PTS
Deandre Ayton,POR,C,26.0,40.0,40.0,30.2,0.566,0.188,0.667,10.2,1.6,0.8,1.0,1.7,14.4
Gradey Dick,TOR,SG,21.0,54.0,54.0,29.4,0.41,0.35,0.858,3.6,1.8,0.9,0.2,1.5,14.4
Jerami Grant,POR,PF,30.0,47.0,47.0,32.4,0.373,0.365,0.849,3.5,2.1,0.9,1.0,1.4,14.4
Payton Pritchard,BOS,PG,27.0,80.0,3.0,28.4,0.472,0.407,0.845,3.8,3.5,0.9,0.2,1.0,14.3
Naz Reid,MIN,C,25.0,80.0,17.0,27.5,0.462,0.379,0.776,6.0,2.3,0.7,0.9,1.4,14.2
Dyson Daniels,ATL,SG,21.0,76.0,76.0,33.8,0.493,0.34,0.593,5.9,4.4,3.0,0.7,2.0,14.1
Tre Mann,CHO,PG,23.0,13.0,0.0,24.5,0.435,0.4,0.905,2.9,3.0,0.5,0.3,1.9,14.1
Amen Thompson,HOU,SF,22.0,69.0,42.0,32.2,0.557,0.275,0.684,8.2,3.8,1.4,1.3,2.0,14.1
Fred VanVleet,HOU,PG,30.0,60.0,60.0,35.2,0.378,0.345,0.81,3.7,5.6,1.6,0.4,1.5,14.1
Dillon Brooks,HOU,SF,29.0,75.0,75.0,31.8,0.429,0.397,0.818,3.7,1.7,0.8,0.2,1.0,14.0
Tolu Smith,DET,PF,24.0,1.0,0.0,22.0,0.667,,0.667,8.0,0.0,0.0,0.0,2.0,14.0
Klay Thompson,DAL,SF,34.0,72.0,72.0,27.3,0.412,0.391,0.905,3.4,2.0,0.7,0.4,1.2,14.0
Bobby Portis,MIL,PF,29.0,49.0,7.0,25.4,0.466,0.365,0.836,8.4,2.1,0.7,0.5,1.2,13.9
Tobias Harris,DET,PF,32.0,73.0,73.0,31.6,0.477,0.345,0.861,5.9,2.2,1.0,0.8,1.2,13.7
Josh Hart,NYK,SG,29.0,77.0,77.0,37.6,0.525,0.333,0.776,9.6,5.9,1.5,0.4,2.1,13.6
Jarrett Allen,CLE,C,26.0,82.0,82.0,28.0,0.706,0.0,0.718,9.7,1.9,0.9,0.9,1.2,13.5
Onyeka Okongwu,ATL,C,24.0,74.0,40.0,27.9,0.567,0.324,0.759,8.9,2.3,0.9,0.9,1.2,13.4
Russell Westbrook,DEN,PG,36.0,75.0,36.0,27.9,0.449,0.323,0.661,4.9,6.1,1.4,0.5,3.2,13.3
Naji Marshall,DAL,SF,27.0,69.0,31.0,27.8,0.508,0.275,0.813,4.8,3.0,1.0,0.2,1.6,13.2
Rui Hachimura,LAL,PF,26.0,59.0,57.0,31.7,0.509,0.413,0.77,5.0,1.4,0.8,0.4,0.8,13.1
Brook Lopez,MIL,C,36.0,80.0,80.0,31.8,0.509,0.373,0.826,5.0,1.8,0.6,1.9,1.1,13.0
Alex Sarr,WAS,C,19.0,67.0,67.0,27.1,0.394,0.308,0.679,6.5,2.4,0.7,1.5,1.7,13.0
Moritz Wagner,ORL,C,27.0,30.0,1.0,18.8,0.562,0.36,0.718,4.9,1.4,0.8,0.4,1.6,12.9
Malcolm Brogdon,WAS,PG,32.0,24.0,13.0,23.5,0.433,0.286,0.88,3.8,4.1,0.5,0.2,1.6,12.7
Scoot Henderson,POR,PG,20.0,66.0,10.0,26.7,0.419,0.354,0.767,3.0,5.1,1.0,0.2,2.7,12.7
Keldon Johnson,SAS,SF,25.0,77.0,0.0,23.9,0.482,0.318,0.773,4.8,1.6,0.6,0.3,1.0,12.7
Zaccharie Risacher,ATL,SF,19.0,75.0,73.0,24.6,0.458,0.355,0.711,3.6,1.2,0.7,0.5,1.2,12.6
Santi Aldama,MEM,PF,24.0,65.0,16.0,25.5,0.483,0.368,0.691,6.4,2.9,0.8,0.4,1.1,12.5
Ty Jerome,CLE,SG,27.0,70.0,3.0,19.9,0.516,0.439,0.872,2.5,3.4,1.1,0.0,1.3,12.5
Keegan Murray,SAC,PF,24.0,76.0,76.0,34.3,0.444,0.343,0.833,6.7,1.4,0.8,0.9,0.8,12.4
Lonnie Walker IV,PHI,SG,26.0,20.0,7.0,23.9,0.42,0.354,0.8,3.2,2.5,0.5,0.3,1.3,12.4
Harrison Barnes,SAS,PF,32.0,82.0,82.0,27.2,0.508,0.433,0.809,3.8,1.7,0.5,0.2,0.6,12.3
Bilal Coulibaly,WAS,SF,20.0,59.0,59.0,33.0,0.421,0.281,0.746,5.0,3.4,1.3,0.7,2.1,12.3
Ayo Dosunmu,CHI,SG,25.0,46.0,26.0,30.3,0.492,0.328,0.785,3.5,4.5,0.9,0.4,1.5,12.3
Daniel Gafford,DAL,C,26.0,57.0,31.0,21.5,0.702,,0.689,6.8,1.4,0.4,1.8,1.2,12.3
Jaden McDaniels,MIN,PF,24.0,82.0,82.0,31.9,0.477,0.33,0.813,5.7,2.0,1.3,0.9,1.2,12.2
Jabari Smith Jr.,HOU,PF,21.0,57.0,39.0,30.1,0.438,0.354,0.825,7.0,1.1,0.4,0.7,1.1,12.2
Drew Timme,BRK,PF,24.0,9.0,2.0,28.2,0.441,0.257,0.625,7.2,2.2,0.4,0.1,1.7,12.1
Tari Eason,HOU,PF,23.0,57.0,16.0,24.9,0.487,0.342,0.76,6.4,1.5,1.7,0.9,1.1,12.0
Rudy Gobert,MIN,C,32.0,72.0,72.0,33.2,0.669,,0.674,10.9,1.8,0.8,1.4,1.2,12.0
Aaron Nesmith,IND,SF,25.0,45.0,37.0,24.9,0.507,0.431,0.913,4.0,1.2,0.8,0.4,0.8,12.0
Aaron Wiggins,OKC,SG,26.0,76.0,26.0,22.9,0.488,0.383,0.831,3.9,1.8,0.8,0.2,0.9,12.0
Jalen Duren,DET,C,21.0,78.0,78.0,26.1,0.692,,0.669,10.3,2.7,0.7,1.1,1.7,11.8
Donte DiVincenzo,MIN,SG,28.0,62.0,10.0,25.9,0.422,0.397,0.778,3.7,3.6,1.2,0.3,1.6,11.7
Brandin Podziemski,GSW,SG,21.0,64.0,33.0,26.8,0.445,0.372,0.758,5.1,3.4,1.1,0.2,1.2,11.7
Corey Kispert,WAS,SF,25.0,61.0,0.0,26.3,0.451,0.364,0.852,3.0,1.7,0.4,0.2,1.0,11.6
Jeremy Sochan,SAS,PF,21.0,54.0,23.0,25.3,0.535,0.308,0.696,6.5,2.4,0.8,0.5,1.6,11.4
Toumani Camara,POR,PF,24.0,78.0,78.0,32.7,0.458,0.375,0.722,5.8,2.2,1.5,0.6,1.4,11.3
Isaiah Hartenstein,OKC,C,26.0,57.0,53.0,27.9,0.581,0.0,0.675,10.7,3.8,0.8,1.1,1.7,11.2
Buddy Hield,GSW,SG,32.0,82.0,22.0,22.7,0.417,0.37,0.828,3.2,1.6,0.8,0.3,1.1,11.1
Jrue Holiday,BOS,PG,34.0,62.0,62.0,30.6,0.443,0.353,0.909,4.3,3.9,1.1,0.4,1.2,11.1
