player_name,team_abbr,PER,TS%,USG%,WS,WS/48,BPM,VORP
Onyeka Okongwu,ATL,19.0,0.634,17.3,7.2,0.168,1.3,1.7
Malik Monk,SAC,15.0,0.549,24.6,2.8,0.065,-0.8,0.6
Jaylen Wells,MEM,10.5,0.56,15.9,3.5,0.083,-2.2,-0.1
Jalen Duren,DET,21.4,0.703,16.4,9.2,0.218,3.1,2.7
Jalen Wilson,BRK,9.5,0.541,16.6,1.9,0.046,-3.9,-1.0
Miles Bridges,CHO,17.7,0.541,28.0,3.2,0.075,1.8,2.0
Franz Wagner,ORL,20.1,0.558,31.0,5.6,0.133,3.1,2.6
Jordan Poole,WAS,16.6,0.591,29.0,2.0,0.047,0.4,1.2
Draymond Green,GSW,12.4,0.534,15.9,3.7,0.088,0.5,1.3
Devin Vassell,SAS,14.2,0.553,22.1,2.2,0.054,-1.1,0.4
Klay Thompson,DAL,12.9,0.552,21.8,1.8,0.045,-1.0,0.5
Tyrese Maxey,PHI,19.5,0.562,29.8,3.8,0.094,2.0,2.0
Norman Powell,LAC,17.5,0.615,26.1,5.3,0.129,1.5,1.8
Yves Missi,NOP,15.4,0.572,14.3,3.6,0.089,-3.0,-0.5
Keon Ellis,SAC,13.5,0.664,12.7,5.0,0.122,1.9,1.9
Bilal Coulibaly,WAS,10.8,0.515,17.9,0.3,0.008,-3.7,-0.8
Julian Champagnie,SAS,12.2,0.577,17.2,2.5,0.062,-1.3,0.4
Keon Johnson,BRK,10.4,0.499,21.7,0.5,0.014,-3.3,-0.6
Naji Marshall,DAL,15.1,0.584,20.0,3.5,0.087,-0.8,0.6
Jrue Holiday,BOS,13.5,0.565,15.8,5.1,0.13,0.7,1.3
Guerschon Yabusele,PHI,14.7,0.616,16.3,3.9,0.099,-1.0,0.5
Gary Trent Jr.,MIL,11.7,0.591,17.1,3.3,0.084,-1.6,0.2
Anthony Black,ORL,11.6,0.521,19.6,2.4,0.061,-1.9,0.0
Josh Green,CHO,7.8,0.559,11.8,1.5,0.037,-4.3,-1.1
Nic Claxton,BRK,16.5,0.569,16.8,4.3,0.11,0.4,1.1
Andrew Nembhard,IND,11.7,0.545,16.3,2.8,0.071,-2.3,-0.1
Cason Wallace,OKC,12.3,0.562,12.8,5.2,0.133,1.0,1.5
Derrick Jones Jr.,LAC,13.5,0.609,16.5,4.7,0.12,-0.3,0.8
