0,1,2,3
139,"Robert Williams III, C",Portland Trail Blazers,"$12,428,571"
140,"Paolo Banchero, F",Orlando Magic,"$12,160,800"
RK,NAME,TEAM,SALARY
141,"Coby White, G",Chicago Bulls,"$12,000,000"
142,"Wendell Carter Jr., C",Orlando Magic,"$11,950,000"
143,"Ivica Zubac, C",LA Clippers,"$11,743,210"
144,"Donte DiVincenzo, G",Minnesota Timberwolves,"$11,445,000"
145,"Brandon Miller, F",Charlotte Hornets,"$11,424,600"
146,"Terance Mann, G",Atlanta Hawks,"$11,423,077"
147,"Alex Sarr, C",Washington Wizards,"$11,245,680"
148,"Evan Mobley, C",Cleveland Cavaliers,"$11,227,809"
149,"Larry Nance Jr., F",Atlanta Hawks,"$11,205,000"
150,"Matisse Thybulle, G",Portland Trail Blazers,"$11,025,160"
RK,NAME,TEAM,SALARY
151,"Moritz Wagner, F",Orlando Magic,"$11,000,000"
152,"Gabe Vincent, G",Los Angeles Lakers,"$11,000,000"
153,"Maxi Kleber, F",Dallas Mavericks,"$11,000,000"
154,"Aaron Nesmith, G",Indiana Pacers,"$11,000,000"
155,"Chet Holmgren, C",Oklahoma City Thunder,"$10,880,640"
156,"Chris Boucher, F",Toronto Raptors,"$10,810,000"
157,"Jarred Vanderbilt, F",Los Angeles Lakers,"$10,714,286"
158,"Aaron Wiggins, G",Oklahoma City Thunder,"$10,514,017"
159,"Chris Paul, G",San Antonio Spurs,"$10,460,000"
160,"Scoot Henderson, G",Portland Trail Blazers,"$10,259,160"
RK,NAME,TEAM,SALARY
161,"Isaac Okoro, F",Cleveland Cavaliers,"$10,185,185"
162,"Scottie Barnes, F",Toronto Raptors,"$10,130,980"
163,"Reed Sheppard, G",Houston Rockets,"$10,098,960"
164,"Mike Conley, G",Minnesota Timberwolves,"$9,975,962"
165,"Jonas Valanciunas, C",Sacramento Kings,"$9,900,000"
166,"Alex Caruso, G",Oklahoma City Thunder,"$9,890,000"
167,"Royce O'Neale, F",Phoenix Suns,"$9,821,429"
168,"Jabari Smith Jr., F",Houston Rockets,"$9,770,880"
169,"Derrick Jones Jr., F",LA Clippers,"$9,523,810"
170,"Al Horford, C",Boston Celtics,"$9,500,000"
RK,NAME,TEAM,SALARY
171,"Pat Connaughton, G",Milwaukee Bucks,"$9,423,869"
172,"T.J. McConnell, G",Indiana Pacers,"$9,300,000"
173,"Luke Kennard, G",Memphis Grizzlies,"$9,250,000"
174,"Amen Thompson, G",Houston Rockets,"$9,249,960"
175,"Jalen Suggs, G",Orlando Magic,"$9,188,385"
176,"Stephon Castle, G",San Antonio Spurs,"$9,131,760"
177,"Gary Payton II, G",Golden State Warriors,"$9,130,000"
178,"Tre Jones, G",Chicago Bulls,"$9,104,167"
179,"Goga Bitadze, C",Orlando Magic,"$9,057,971"
180,"Zeke Nnaji, F",Denver Nuggets,"$8,888,889"
RK,NAME,TEAM,SALARY
181,"Keegan Murray, F",Sacramento Kings,"$8,809,560"
182,"Kyle Anderson, F",Miami Heat,"$8,780,488"
183,"Buddy Hield, G",Golden State Warriors,"$8,780,488"
184,"Naji Marshall, F",Dallas Mavericks,"$8,571,429"
