rank,player_name,position,team,team_abbr,salary
66,Terry Rozier,G,Miami Heat,MIA,24924126
67,Draymond Green,F,Golden State Warriors,GSW,24107143
68,DeMar DeRozan,G,Sacramento Kings,SAC,23400000
69,Mikal Bridges,G,New York Knicks,NYK,23300000
70,Jaden McDaniels,F,Minnesota Timberwolves,MIN,23017242
71,Brook Lopez,C,Milwaukee Bucks,MIL,23000000
72,Bruce Brown,G,New Orleans Pelicans,NOP,23000000
73,Aaron Gordon,F,Denver Nuggets,DEN,22841455
74,Kentavious Caldwell-Pope,G,Orlando Magic,ORL,22757000
75,Malcolm Brogdon,G,Washington Wizards,WAS,22500000
76,Cameron Johnson,F,Brooklyn Nets,BRK,22500000
77,Kyle Kuzma,F,Milwaukee Bucks,MIL,22410605
78,Clint Capela,C,Atlanta Hawks,ATL,22265280
79,Dillon Brooks,F,Houston Rockets,HOU,22255493
80,De'Andre Hunter,F,Cleveland Cavaliers,CLE,21696429
81,Lonzo Ball,G,Chicago Bulls,CHI,21395348
82,Marcus Smart,G,Washington Wizards,WAS,20210285
83,Derrick White,G,Boston Celtics,BOS,20017429
84,Jarrett Allen,C,Cleveland Cavaliers,CLE,20000000
85,Nikola Vucevic,C,Chicago Bulls,CHI,20000000
86,Myles Turner,C,Indiana Pacers,IND,19928500
87,Jakob Poeltl,C,Toronto Raptors,TOR,19500000
88,Duncan Robinson,F,Miami Heat,MIA,19406000
89,Norman Powell,G,LA Clippers,LAC,19241379
90,Bojan Bogdanovic,SF,Brooklyn Nets,BRK,19032850
91,Keldon Johnson,F,San Antonio Spurs,SAS,19000000
92,D'Angelo Russell,G,Brooklyn Nets,BRK,18692307
93,Patrick Williams,F,Chicago Bulls,CHI,18500000
94,Collin Sexton,G,Utah Jazz,UTA,18350000
95,Josh Hart,G,New York Knicks,NYK,18144000
96,Jusuf Nurkic,C,Charlotte Hornets,CHO,18125000
97,Harrison Barnes,F,San Antonio Spurs,SAS,18000000
98,Malik Monk,G,Sacramento Kings,SAC,17405202
99,Bogdan Bogdanovic,G,LA Clippers,LAC,17260000
100,Rui Hachimura,F,Los Angeles Lakers,LAL,17000000
101,Kevin Huerter,G,Chicago Bulls,CHI,16830357
102,Zach Collins,F,Chicago Bulls,CHI,16741200
103,Caris LeVert,G,Atlanta Hawks,ATL,16615384
104,Luguentz Dort,G,Oklahoma City Thunder,OKC,16500000
105,Tim Hardaway Jr.,G,Detroit Pistons,DET,16193183
106,Davis Bertans,SF,Charlotte Hornets,CHO,16000000
107,Klay Thompson,G,Dallas Mavericks,DAL,15873016
108,Deni Avdija,F,Portland Trail Blazers,POR,15625000
109,Grayson Allen,G,Phoenix Suns,PHO,15625000
110,P.J. Washington,F,Dallas Mavericks,DAL,15500000
111,Max Strus,G,Cleveland Cavaliers,CLE,15212068
112,Isaiah Stewart,F,Detroit Pistons,DET,15000000
113,Dorian Finney-Smith,F,Los Angeles Lakers,LAL,14924168
114,Mitchell Robinson,C,New York Knicks,NYK,14318182
115,Jordan Clarkson,G,Utah Jazz,UTA,14092577
116,Onyeka Okongwu,F,Atlanta Hawks,ATL,14000000
117,Naz Reid,C,Minnesota Timberwolves,MIN,13986432
118,Cade Cunningham,G,Detroit Pistons,DET,13940658
119,Daniel Gafford,F,Dallas Mavericks,DAL,13394160
120,Grant Williams,F,Charlotte Hornets,CHO,13025250
121,Dennis Schroder,G,Detroit Pistons,DET,13025250
122,Isaiah Joe,G,Oklahoma City Thunder,OKC,12991650
123,Austin Reaves,G,Los Angeles Lakers,LAL,12976362
124,Herbert Jones,F,New Orleans Pelicans,NOP,12976362
125,Obi Toppin,F,Indiana Pacers,IND,12946429
126,Cole Anthony,G,Orlando Magic,ORL,12900000
127,De'Anthony Melton,G,Golden State Warriors,GSW,12822000
128,Kelly Olynyk,F,New Orleans Pelicans,NOP,12804878
129,Victor Wembanyama,F,San Antonio Spurs,SAS,12768960
